Resultados para a variável: Va
Va : Size=576, Index=i*t
    Key      : Lower               : Value                  : Upper              : Fixed : Stale : Domain
      (5, 1) : -1.5707963267948966 :    0.10184817226831328 : 1.5707963267948966 : False : False :  Reals
      (5, 2) : -1.5707963267948966 :    0.09354265166244122 : 1.5707963267948966 : False : False :  Reals
      (5, 3) : -1.5707963267948966 :    0.08713325063179986 : 1.5707963267948966 : False : False :  Reals
      (5, 4) : -1.5707963267948966 :    0.08437232691204531 : 1.5707963267948966 : False : False :  Reals
      (5, 5) : -1.5707963267948966 :    0.08210243488442291 : 1.5707963267948966 : False : False :  Reals
      (5, 6) : -1.5707963267948966 :     0.0840100748742566 : 1.5707963267948966 : False : False :  Reals
      (5, 7) : -1.5707963267948966 :    0.08997620212900502 : 1.5707963267948966 : False : False :  Reals
      (5, 8) : -1.5707963267948966 :    0.09510498825584159 : 1.5707963267948966 : False : False :  Reals
      (5, 9) : -1.5707963267948966 :    0.10622557829442848 : 1.5707963267948966 : False : False :  Reals
     (5, 10) : -1.5707963267948966 :    0.12312622856441813 : 1.5707963267948966 : False : False :  Reals
     (5, 11) : -1.5707963267948966 :    0.13402845346092546 : 1.5707963267948966 : False : False :  Reals
     (5, 12) : -1.5707963267948966 :    0.13694996845992735 : 1.5707963267948966 : False : False :  Reals
     (5, 13) : -1.5707963267948966 :    0.14086273495832405 : 1.5707963267948966 : False : False :  Reals
     (5, 14) : -1.5707963267948966 :    0.13301533634240564 : 1.5707963267948966 : False : False :  Reals
     (5, 15) : -1.5707963267948966 :    0.12929235639423375 : 1.5707963267948966 : False : False :  Reals
     (5, 16) : -1.5707963267948966 :     0.1298920547594969 : 1.5707963267948966 : False : False :  Reals
     (5, 17) : -1.5707963267948966 :     0.1415907874965937 : 1.5707963267948966 : False : False :  Reals
     (5, 18) : -1.5707963267948966 :    0.16337854610691366 : 1.5707963267948966 : False : False :  Reals
     (5, 19) : -1.5707963267948966 :    0.16285473792751506 : 1.5707963267948966 : False : False :  Reals
     (5, 20) : -1.5707963267948966 :    0.15541003410056822 : 1.5707963267948966 : False : False :  Reals
     (5, 21) : -1.5707963267948966 :    0.14456024153240726 : 1.5707963267948966 : False : False :  Reals
     (5, 22) : -1.5707963267948966 :    0.12774608640502053 : 1.5707963267948966 : False : False :  Reals
     (5, 23) : -1.5707963267948966 :    0.11456293150412443 : 1.5707963267948966 : False : False :  Reals
     (5, 24) : -1.5707963267948966 :    0.11196389107434908 : 1.5707963267948966 : False : False :  Reals
      (6, 1) : -1.5707963267948966 :  -0.010771986731781627 : 1.5707963267948966 : False : False :  Reals
      (6, 2) : -1.5707963267948966 :   -0.01294430344768281 : 1.5707963267948966 : False : False :  Reals
      (6, 3) : -1.5707963267948966 :    -0.0146647696611452 : 1.5707963267948966 : False : False :  Reals
      (6, 4) : -1.5707963267948966 :  -0.015420230368077693 : 1.5707963267948966 : False : False :  Reals
      (6, 5) : -1.5707963267948966 :  -0.016055539525445518 : 1.5707963267948966 : False : False :  Reals
      (6, 6) : -1.5707963267948966 :  -0.015522445229175705 : 1.5707963267948966 : False : False :  Reals
      (6, 7) : -1.5707963267948966 :   -0.01389507367826371 : 1.5707963267948966 : False : False :  Reals
      (6, 8) : -1.5707963267948966 :  -0.012536748422171864 : 1.5707963267948966 : False : False :  Reals
      (6, 9) : -1.5707963267948966 :  -0.009670594476343029 : 1.5707963267948966 : False : False :  Reals
     (6, 10) : -1.5707963267948966 :  -0.005648020795861658 : 1.5707963267948966 : False : False :  Reals
     (6, 11) : -1.5707963267948966 : -0.0028492999919367316 : 1.5707963267948966 : False : False :  Reals
     (6, 12) : -1.5707963267948966 :  -0.002060083774933288 : 1.5707963267948966 : False : False :  Reals
     (6, 13) : -1.5707963267948966 :  -0.000963492555383003 : 1.5707963267948966 : False : False :  Reals
     (6, 14) : -1.5707963267948966 :  -0.003156560116847292 : 1.5707963267948966 : False : False :  Reals
     (6, 15) : -1.5707963267948966 :  -0.004157455225415278 : 1.5707963267948966 : False : False :  Reals
     (6, 16) : -1.5707963267948966 : -0.0040279797737256635 : 1.5707963267948966 : False : False :  Reals
     (6, 17) : -1.5707963267948966 :    -0.0008884326830148 : 1.5707963267948966 : False : False :  Reals
     (6, 18) : -1.5707963267948966 :   0.003769837531053986 : 1.5707963267948966 : False : False :  Reals
     (6, 19) : -1.5707963267948966 :   0.004147894250413575 : 1.5707963267948966 : False : False :  Reals
     (6, 20) : -1.5707963267948966 :  0.0031043521471924404 : 1.5707963267948966 : False : False :  Reals
     (6, 21) : -1.5707963267948966 : 3.8354061292550936e-05 : 1.5707963267948966 : False : False :  Reals
     (6, 22) : -1.5707963267948966 : -0.0045402718702252185 : 1.5707963267948966 : False : False :  Reals
     (6, 23) : -1.5707963267948966 :  -0.007776977095579467 : 1.5707963267948966 : False : False :  Reals
     (6, 24) : -1.5707963267948966 :  -0.008345905118973958 : 1.5707963267948966 : False : False :  Reals
      (7, 1) : -1.5707963267948966 :    0.08451540694067229 : 1.5707963267948966 : False : False :  Reals
      (7, 2) : -1.5707963267948966 :    0.07658861256727445 : 1.5707963267948966 : False : False :  Reals
      (7, 3) : -1.5707963267948966 :    0.07054684944102553 : 1.5707963267948966 : False : False :  Reals
      (7, 4) : -1.5707963267948966 :    0.06796790692980019 : 1.5707963267948966 : False : False :  Reals
      (7, 5) : -1.5707963267948966 :    0.06584804240517754 : 1.5707963267948966 : False : False :  Reals
      (7, 6) : -1.5707963267948966 :      0.067623322826193 : 1.5707963267948966 : False : False :  Reals
      (7, 7) : -1.5707963267948966 :    0.07321186047199953 : 1.5707963267948966 : False : False :  Reals
      (7, 8) : -1.5707963267948966 :    0.07803465671721922 : 1.5707963267948966 : False : False :  Reals
      (7, 9) : -1.5707963267948966 :    0.08864796243727618 : 1.5707963267948966 : False : False :  Reals
     (7, 10) : -1.5707963267948966 :    0.10351475945840644 : 1.5707963267948966 : False : False :  Reals
     (7, 11) : -1.5707963267948966 :    0.11284363843711802 : 1.5707963267948966 : False : False :  Reals
     (7, 12) : -1.5707963267948966 :    0.11534742455468881 : 1.5707963267948966 : False : False :  Reals
     (7, 13) : -1.5707963267948966 :    0.11876272900195164 : 1.5707963267948966 : False : False :  Reals
     (7, 14) : -1.5707963267948966 :    0.11185116542220243 : 1.5707963267948966 : False : False :  Reals
