variable,index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Dist_Flow,2,-0.1850599509629437,-0.1496867047796185,-0.1137142485888244,-0.1949655414546923,-0.1987012923079194,-0.1893875974942099,-0.190589754021405,-0.2132215799443798,-0.2125457573777169,-0.1931091920115877,-0.1960294180577269,-0.1424885571496383,-0.1770824503602267,-0.1514540619558119,-0.1727994697107906,-0.1546341247445948,-0.1886459504040484,-0.1790539320239456,-0.1547491780538706,-0.2134528403289765,-0.1989031794801532,-0.1739293241283495,-0.1693191119838473,-0.1941180280555562
Dist_Flow,3,-0.1886788179279069,-0.1535043685939564,-0.1170611142567144,-0.1983961658767215,-0.2023901380521869,-0.1936416298605872,-0.1947121448911312,-0.2182392558754034,-0.2179634379597314,-0.1988177844715875,-0.2019561944701182,-0.1485244256096392,-0.1831910471922112,-0.1575626585557383,-0.1779645455188797,-0.1604518095646626,-0.1941727231095205,-0.1842170644839402,-0.1595850348965463,-0.2179977843908214,-0.2032299394258054,-0.1777659185328547,-0.1728119200985695,-0.1976071533060165
Dist_Flow,4,-0.02991795850727353,-0.02290193010915621,-0.01421646947312846,-0.03598962769707238,-0.03698718171738365,-0.03581599923817707,-0.03661476548658481,-0.04932185889329034,-0.04914752574867381,-0.04908597590659197,-0.04763536292537114,-0.03463712341310031,-0.03465408778976792,-0.04547889482621986,-0.03615026440713193,-0.03490279337425838,-0.04937775555334194,-0.03778612598779117,-0.03538002923981311,-0.04961346083595086,-0.0496404968126247,-0.0355108014709373,-0.04619743076202174,-0.04629619524517034
Dist_Flow,4,-0.1624281747401769,-0.1343583699865798,-0.1064077395826882,-0.165847351688624,-0.1688251875341829,-0.1613274058246348,-0.1614892570570322,-0.1724005250614963,-0.1723170217925002,-0.1532553492765934,-0.1579203621812912,-0.1176145796181235,-0.1523099879265985,-0.1158323176086152,-0.1454735786860278,-0.1294860694348275,-0.1486572732452542,-0.1504481383620717,-0.1282867795185835,-0.1723582498752521,-0.1575004557908099,-0.1461783929532956,-0.1303863376994768,-0.1550075765459064
Dist_Flow,6,-0.1654823318065744,-0.1374363731364961,-0.109416700789336,-0.1687697216677278,-0.1717526421869679,-0.1643494506854876,-0.1646626347433695,-0.1758062246990273,-0.1759372714073764,-0.1569449390919338,-0.1616209180123096,-0.1213398471458546,-0.1560647457619622,-0.1195698848556624,-0.1491408072724602,-0.1331363626847329,-0.1521679827720664,-0.1538722888280659,-0.1316819805300307,-0.1756873141012844,-0.1607859065061392,-0.149477800102318,-0.1336276119576289,-0.1581381798705262
Dist_Flow,7,-0.1671829298631743,-0.1393249956457197,-0.1110098643818206,-0.1702897470858296,-0.1733868531775325,-0.166340894907565,-0.1667406292784313,-0.1784352451671185,-0.1789793594723829,-0.1604026806063263,-0.1654969390716769,-0.1257044405312492,-0.1605608785693265,-0.1240358222278129,-0.1533333074824645,-0.1376308013107116,-0.1561262348676999,-0.1576067546089407,-0.1351067906471623,-0.1785439726959174,-0.1632928404128067,-0.1518758650131151,-0.1356322877066063,-0.1599088587304986
Dist_Flow,8,-0.1689633976774015,-0.1411129434091969,-0.1127146597139077,-0.1719537724035427,-0.1750525824568449,-0.1680864393430579,-0.1686583082990365,-0.1806484782397703,-0.1814827558675589,-0.163087224939825,-0.1682579072453362,-0.1285096392272257,-0.1633641454604887,-0.1269061670488074,-0.1562289988866725,-0.1406536732735568,-0.1592484240499986,-0.1608088015430763,-0.1382381862490789,-0.1814837458689331,-0.1659756843708983,-0.1543084858861837,-0.1378395841318302,-0.1619699172226874
Dist_Flow,9,-0.06917507421693052,-0.06917074071131993,-0.06935602169264254,-0.0696053958176422,-0.06937761134554246,-0.06914609899013875,-0.0684077116056824,-0.06753586302314264,-0.06707577716782515,-0.06616104487885602,-0.06693597840852701,-0.06508439064272759,-0.0659328405165625,-0.06537047595611295,-0.06531996415411076,-0.06508772345781845,-0.06521030687688455,-0.06553392991952273,-0.06597107160613462,-0.06665130360644357,-0.06638824152580806,-0.06710816652410774,-0.06760841901182053,-0.06828411554137175
Dist_Flow,9,-0.09263520500927108,-0.07532046401723684,-0.0563409000242041,-0.104975885160714,-0.1084347458779389,-0.09923241815862922,-0.1059808337332132,-0.1062057069988584,-0.1111705920660592,-0.100543115319317,-0.09446354293436661,-0.07812664679940526,-0.09164496202956439,-0.07478573205434226,-0.1023690020882822,-0.08145210553390912,-0.08980322763753221,-0.08880456917665863,-0.08146811753426063,-0.1081412251882666,-0.100779240009664,-0.1013405666594155,-0.08346573763263056,-0.1067911601872506
Dist_Flow,10,-0.07065082114487992,-0.07064845519419981,-0.07065031592415988,-0.07072001887075695,-0.07045892608886016,-0.0700857116008701,-0.06933548954409768,-0.06849636908159044,-0.06813802034111041,-0.06737470530946177,-0.06843699002832104,-0.06694655702127168,-0.06824092675490391,-0.0681757015171297,-0.06841920019856255,-0.06862390067487234,-0.06900000282203407,-0.0694367382146056,-0.06980457875018407,-0.07019490916489694,-0.0696616970474992,-0.06996874373696307,-0.07013611588391329,-0.0704157534310562
