index0,index1,index2,rho_U.val
2,3,13,49.8
2,3,14,49.8
2,3,15,49.8
2,3,16,49.79999992196468
2,3,17,49.8
2,3,18,49.8
2,3,19,48.57793166550846
2,3,20,48.5779316655082
2,3,21,31.94243734736851
2,3,22,3.630904175264407
2,3,23,3.630902795131311
2,3,24,0.0
2,4,1,0.0
2,4,2,0.0
2,4,3,0.0
2,4,4,0.0
2,4,5,0.0
2,4,6,0.0
2,4,7,0.0
2,4,8,0.0
2,4,9,0.0
2,4,10,0.0
2,4,11,0.0
2,4,12,0.0
2,4,13,0.0
2,4,14,0.0
2,4,15,0.0
2,4,16,0.0
2,4,17,0.0
2,4,18,0.0
2,4,19,0.0
2,4,20,0.0
2,4,21,0.0
2,4,22,0.0
2,4,23,0.0
2,4,24,0.0
2,5,1,0.0
2,5,2,0.0
2,5,3,0.0
2,5,4,0.0
2,5,5,0.0
2,5,6,0.0
2,5,7,0.0
2,5,8,0.0
2,5,9,0.0
2,5,10,0.0
2,5,11,0.0
2,5,12,0.0
2,5,13,0.0
2,5,14,0.0
2,5,15,0.0
2,5,16,0.0
2,5,17,0.0
2,5,18,0.0
2,5,19,0.0
2,5,20,0.0
2,5,21,0.0
2,5,22,0.0
2,5,23,0.0
2,5,24,0.0
3,1,1,0.0
3,1,2,11.3799584630134
3,1,3,11.37995860597437
3,1,4,11.37995860597437
3,1,5,13.60963249767873
3,1,6,27.1845992788711
3,1,7,35.51463033649337
3,1,8,44.72657462086041
3,1,9,44.72657462086056
3,1,10,44.72657451753005
3,1,11,52.13999999999999
3,1,12,52.13999999999999
3,1,13,61.92047930378823
3,1,14,61.92047930378823
3,1,15,61.92047930378823
3,1,16,61.92047920233688
3,1,17,61.92047930378823
3,1,18,61.92047930378823
3,1,19,52.13999999999999
3,1,20,52.13999999999999
3,1,21,35.51463048421054
3,1,22,13.6096333132782
3,1,23,13.60963245458971
3,1,24,11.37995860597444
3,2,1,0.0
3,2,2,0.0
3,2,3,0.0
3,2,4,0.0
3,2,5,0.0
3,2,6,0.0
3,2,7,0.0
3,2,8,0.0
3,2,9,0.0
3,2,10,0.0
3,2,11,0.0
3,2,12,0.0
3,2,13,9.78047930378824
3,2,14,9.780479303788248
3,2,15,9.78047930378824
3,2,16,9.780479202336885
3,2,17,9.78047930378824
3,2,18,9.78047930378824
3,2,19,0.0
3,2,20,0.0
3,2,21,0.0
3,2,22,0.0
3,2,23,0.0
3,2,24,0.0
3,3,1,0.0
3,3,2,0.0
3,3,3,0.0
3,3,4,0.0
3,3,5,0.0
3,3,6,0.0
3,3,7,0.0
3,3,8,0.0
3,3,9,0.0
3,3,10,0.0
3,3,11,0.0
3,3,12,0.0
3,3,13,0.0
3,3,14,0.0
3,3,15,0.0
3,3,16,0.0
3,3,17,0.0
3,3,18,0.0
3,3,19,0.0
3,3,20,0.0
3,3,21,0.0
3,3,22,0.0
3,3,23,0.0
3,3,24,0.0
3,4,1,0.0
3,4,2,0.0
3,4,3,0.0
3,4,4,0.0
3,4,5,0.0
3,4,6,0.0
3,4,7,0.0
3,4,8,0.0
3,4,9,0.0
3,4,10,0.0
3,4,11,0.0
3,4,12,0.0
3,4,13,0.0
3,4,14,0.0
3,4,15,0.0
3,4,16,0.0
3,4,17,0.0
3,4,18,0.0
3,4,19,0.0
3,4,20,0.0
3,4,21,0.0
3,4,22,0.0
3,4,23,0.0
3,4,24,0.0
3,5,1,0.0
3,5,2,0.0
3,5,3,0.0
3,5,4,0.0
3,5,5,0.0
3,5,6,0.0
3,5,7,0.0
3,5,8,0.0
3,5,9,0.0
3,5,10,0.0
3,5,11,0.0
3,5,12,0.0
3,5,13,0.0
3,5,14,0.0
3,5,15,0.0
3,5,16,0.0
3,5,17,0.0
3,5,18,0.0
3,5,19,0.0
3,5,20,0.0
3,5,21,0.0
3,5,22,0.0
3,5,23,0.0
3,5,24,0.0
4,1,1,0.0
4,1,2,27.13382206055764
4,1,3,27.1338223328591
4,1,4,27.1338223328591
4,1,5,27.23350430207358
4,1,6,27.84039993682063
4,1,7,39.39999994392664
4,1,8,55.67854711647578
4,1,9,55.67854711647595
4,1,10,55.67854703515157
4,1,11,56.00997892054579
4,1,12,56.00997892054681
4,1,13,78.8
4,1,14,78.8
4,1,15,78.8
4,1,16,78.79999987522484
4,1,17,78.8
4,1,18,78.8
4,1,19,56.00997892054664
4,1,20,56.00997892054703
4,1,21,39.4
4,1,22,27.23350429193156
4,1,23,27.233504225903
4,1,24,27.1338223328591
4,2,1,0.0
4,2,2,0.0
4,2,3,0.0
4,2,4,0.0
4,2,5,0.0
4,2,6,0.0
4,2,7,0.0
4,2,8,16.27854711647575
4,2,9,16.27854711647594
4,2,10,16.27854703515153
4,2,11,16.60997892054577
4,2,12,16.60997892054676
4,2,13,39.4
4,2,14,39.4
4,2,15,39.4
4,2,16,39.39999987522481
4,2,17,39.4
4,2,18,39.4
4,2,19,16.60997892054663
4,2,20,16.609978920547
4,2,21,0.0
4,2,22,0.0
4,2,23,0.0
4,2,24,0.0
4,3,1,0.0
4,3,2,0.0
4,3,3,0.0
4,3,4,0.0
4,3,5,0.0
4,3,6,0.0
