index0,index1,index2,rho_L.val
2,2,1,0.0
2,2,2,0.0
2,2,3,0.0
2,2,4,0.0
2,2,5,0.0
2,2,6,0.0
2,2,7,0.0
2,2,8,0.0
2,2,9,0.0
2,2,10,0.0
2,2,11,0.0
2,2,12,0.0
2,2,13,0.0
2,2,14,0.0
2,2,15,0.0
2,2,16,0.0
2,2,17,0.0
2,2,18,0.0
2,2,19,0.0
2,2,20,0.0
2,2,21,0.0
2,2,22,0.0
2,2,23,0.0
2,2,24,0.0
2,3,1,4.149573816156021
2,3,2,5.850186637394026e-08
2,3,3,0.0
2,3,4,0.0
2,3,5,0.0
2,3,6,0.0
2,3,7,0.0
2,3,8,0.0
2,3,9,0.0
2,3,10,0.0
2,3,11,0.0
2,3,12,0.0
2,3,13,0.0
2,3,14,0.0
2,3,15,0.0
2,3,16,0.0
2,3,17,0.0
2,3,18,0.0
2,3,19,0.0
2,3,20,0.0
2,3,21,0.0
2,3,22,0.0
2,3,23,0.0
2,3,24,0.0
2,4,1,53.94957381615603
2,4,2,49.80000005850189
2,4,3,49.8
2,4,4,49.8
2,4,5,46.16909718353446
2,4,6,24.06300115394669
2,4,7,17.8575628607029
2,4,8,13.29442886619211
2,4,9,13.29442886619204
2,4,10,13.29442898387227
2,4,11,1.222068334491006
2,4,12,1.222068334491571
2,4,13,0.0
2,4,14,0.0
2,4,15,0.0
2,4,16,7.80353153391003e-08
2,4,17,0.0
2,4,18,0.0
2,4,19,1.222068334491531
2,4,20,1.222068334491816
2,4,21,17.8575626526315
2,4,22,46.16909582473562
2,4,23,46.16909720486871
2,4,24,49.8
2,5,1,103.749573816156
2,5,2,99.6000000585019
2,5,3,99.6
2,5,4,99.6
2,5,5,95.96909718353447
2,5,6,73.8630011539467
2,5,7,67.65756286070291
2,5,8,63.09442886619212
2,5,9,63.09442886619206
2,5,10,63.09442898387226
2,5,11,51.022068334491
2,5,12,51.02206833449156
2,5,13,49.8
2,5,14,49.8
2,5,15,49.8
2,5,16,49.80000007803534
2,5,17,49.8
2,5,18,49.8
2,5,19,51.02206833449156
2,5,20,51.02206833449185
2,5,21,67.6575626526315
2,5,22,95.96909582473563
2,5,23,95.96909720486872
2,5,24,99.6
3,1,1,0.0
3,1,2,0.0
3,1,3,0.0
3,1,4,0.0
3,1,5,0.0
3,1,6,0.0
3,1,7,0.0
3,1,8,0.0
3,1,9,0.0
3,1,10,0.0
3,1,11,0.0
3,1,12,0.0
3,1,13,0.0
3,1,14,0.0
3,1,15,0.0
3,1,16,0.0
3,1,17,0.0
3,1,18,0.0
3,1,19,0.0
3,1,20,0.0
3,1,21,0.0
3,1,22,0.0
3,1,23,0.0
3,1,24,0.0
3,2,1,52.13999999999999
3,2,2,40.76004153698658
3,2,3,40.76004139402562
3,2,4,40.76004139402562
3,2,5,38.53036750232125
3,2,6,24.95540072112889
3,2,7,16.62536966350662
3,2,8,7.413425379139575
3,2,9,7.413425379139426
3,2,10,7.413425482469932
3,2,11,0.0
3,2,12,0.0
3,2,13,0.0
3,2,14,0.0
3,2,15,0.0
3,2,16,0.0
3,2,17,0.0
3,2,18,0.0
3,2,19,0.0
3,2,20,0.0
3,2,21,16.62536951578945
3,2,22,38.53036668672179
3,2,23,38.53036754541027
3,2,24,40.76004139402555
3,3,1,104.28
3,3,2,92.90004153698663
3,3,3,92.90004139402566
3,3,4,92.90004139402566
3,3,5,90.67036750232131
3,3,6,77.09540072112893
3,3,7,68.76536966350666
3,3,8,59.55342537913962
3,3,9,59.55342537913947
3,3,10,59.55342548246998
3,3,11,52.14000000000004
3,3,12,52.13999999999998
3,3,13,42.3595206962118
3,3,14,42.3595206962118
3,3,15,42.3595206962118
3,3,16,42.35952079766315
3,3,17,42.3595206962118
3,3,18,42.3595206962118
3,3,19,52.14000000000004
3,3,20,52.14000000000004
3,3,21,68.7653695157895
3,3,22,90.67036668672183
3,3,23,90.67036754541031
3,3,24,92.9000413940256
3,4,1,156.42
3,4,2,145.0400415369866
3,4,3,145.0400413940256
3,4,4,145.0400413940256
3,4,5,142.8103675023213
3,4,6,129.2354007211289
3,4,7,120.9053696635066
3,4,8,111.6934253791396
3,4,9,111.6934253791395
3,4,10,111.6934254824699
3,4,11,104.28
3,4,12,104.28
3,4,13,94.49952069621179
3,4,14,94.49952069621179
3,4,15,94.49952069621179
3,4,16,94.49952079766314
3,4,17,94.49952069621179
3,4,18,94.49952069621179
3,4,19,104.28
3,4,20,104.28
3,4,21,120.9053695157895
3,4,22,142.8103666867218
3,4,23,142.8103675454103
3,4,24,145.0400413940256
3,5,1,208.56
3,5,2,197.1800415369866
3,5,3,197.1800413940256
3,5,4,197.1800413940256
3,5,5,194.9503675023213
3,5,6,181.3754007211289
3,5,7,173.0453696635066
3,5,8,163.8334253791396
3,5,9,163.8334253791394
3,5,10,163.8334254824699
3,5,11,156.42
3,5,12,156.42
3,5,13,146.6395206962118
3,5,14,146.6395206962118
3,5,15,146.6395206962118
3,5,16,146.6395207976631
3,5,17,146.6395206962118
3,5,18,146.6395206962118
3,5,19,156.42
3,5,20,156.42
3,5,21,173.0453695157894
3,5,22,194.9503666867218
3,5,23,194.9503675454103
3,5,24,197.1800413940256
4,1,1,0.0
4,1,2,0.0
4,1,3,0.0
4,1,4,0.0
4,1,5,0.0
4,1,6,0.0
4,1,7,0.0
4,1,8,0.0
4,1,9,0.0
4,1,10,0.0
4,1,11,0.0
4,1,12,0.0
4,1,13,0.0
4,1,14,0.0
4,1,15,0.0
4,1,16,0.0
4,1,17,0.0
4,1,18,0.0
4,1,19,0.0
4,1,20,0.0
4,1,21,0.0
4,1,22,0.0
4,1,23,0.0
4,1,24,0.0
4,2,1,39.4
4,2,2,12.2661779394424
4,2,3,12.26617766714094
4,2,4,12.26617766714094
4,2,5,12.16649569792645
4,2,6,11.55960006317942
4,2,7,5.607338948721008e-08
4,2,8,0.0
4,2,9,0.0
4,2,10,0.0
4,2,11,0.0
4,2,12,0.0
4,2,13,0.0
4,2,14,0.0
4,2,15,0.0
4,2,16,0.0
4,2,17,0.0
4,2,18,0.0
4,2,19,0.0
4,2,20,0.0
4,2,21,0.0
4,2,22,12.16649570806848
4,2,23,12.16649577409703
4,2,24,12.26617766714093
4,3,1,78.8
4,3,2,51.66617793944238
4,3,3,51.66617766714091
4,3,4,51.66617766714091
4,3,5,51.56649569792643
4,3,6,50.95960006317938
4,3,7,39.4000000560734
4,3,8,23.12145288352423
4,3,9,23.12145288352406
4,3,10,23.12145296484846
4,3,11,22.79002107945421
4,3,12,22.79002107945322
4,3,13,0.0
4,3,14,0.0
4,3,15,0.0
4,3,16,1.247751670294036e-07
4,3,17,0.0
4,3,18,0.0
4,3,19,22.79002107945335
4,3,20,22.79002107945297
4,3,21,39.4
4,3,22,51.56649570806843
4,3,23,51.56649577409701
4,3,24,51.66617766714091
4,4,1,118.2
4,4,2,91.06617793944235
4,4,3,91.06617766714089
4,4,4,91.06617766714089
4,4,5,90.9664956979264
4,4,6,90.35960006317936
4,4,7,78.80000005607337
4,4,8,62.5214528835242
4,4,9,62.52145288352403
4,4,10,62.52145296484844
4,4,11,62.1900210794542
4,4,12,62.19002107945317
4,4,13,39.4
4,4,14,39.4
4,4,15,39.4
4,4,16,39.40000012477515
4,4,17,39.4
4,4,18,39.4
4,4,19,62.19002107945335
4,4,20,62.19002107945295
4,4,21,78.8
4,4,22,90.96649570806841
4,4,23,90.96649577409698
4,4,24,91.06617766714089
4,5,1,157.6
4,5,2,130.4661779394424
4,5,3,130.4661776671409
4,5,4,130.4661776671409
4,5,5,130.3664956979264
4,5,6,129.7596000631794
4,5,7,118.2000000560734
4,5,8,101.9214528835242
4,5,9,101.9214528835241
4,5,10,101.9214529648485
4,5,11,101.5900210794542
4,5,12,101.5900210794532
4,5,13,78.8
4,5,14,78.8
4,5,15,78.8
4,5,16,78.80000012477518
4,5,17,78.8
4,5,18,78.8
4,5,19,101.5900210794534
4,5,20,101.590021079453
4,5,21,118.2
4,5,22,130.3664957080684
4,5,23,130.366495774097
4,5,24,130.4661776671409
5,1,1,0.0
5,1,2,0.0
5,1,3,0.0
5,1,4,0.0
5,1,5,0.0
5,1,6,0.0
5,1,7,0.0
5,1,8,0.0
5,1,9,0.0
5,1,10,0.0
5,1,11,0.0
5,1,12,0.0
5,1,13,0.0
5,1,14,0.0
5,1,15,0.0
5,1,16,0.0
5,1,17,0.0
5,1,18,0.0
5,1,19,0.0
5,1,20,0.0
5,1,21,0.0
5,1,22,0.0
5,1,23,0.0
5,1,24,0.0
5,2,1,0.0
5,2,2,0.0
5,2,3,0.0
5,2,4,0.0
5,2,5,0.0
5,2,6,0.0
5,2,7,0.0
5,2,8,0.0
5,2,9,0.0
5,2,10,0.0
5,2,11,0.0
5,2,12,0.0
5,2,13,0.0
5,2,14,0.0
5,2,15,0.0
5,2,16,0.0
5,2,17,0.0
5,2,18,0.0
5,2,19,0.0
5,2,20,0.0
5,2,21,0.0
5,2,22,0.0
5,2,23,0.0
5,2,24,0.0
5,3,1,28.32000000000009
5,3,2,2.782085765635292e-07
5,3,3,0.0
5,3,4,0.0
5,3,5,0.0
5,3,6,3.238557155782473e-08
5,3,7,0.0
5,3,8,0.0
5,3,9,0.0
5,3,10,0.0
5,3,11,0.0
5,3,12,0.0
5,3,13,0.0
5,3,14,0.0
5,3,15,0.0
5,3,16,0.0
5,3,17,0.0
5,3,18,0.0
5,3,19,0.0
5,3,20,0.0
5,3,21,0.0
5,3,22,4.82381103950047e-08
5,3,23,7.776750358881382e-08
5,3,24,0.0
5,4,1,56.64000000000004
5,4,2,28.32000027820862
5,4,3,28.32000000000005
5,4,4,28.32000000000005
5,4,5,28.32000000000005
5,4,6,28.32000003238562
5,4,7,16.6092587040763
5,4,8,0.0
5,4,9,0.0
5,4,10,7.989615369297098e-08
5,4,11,0.0
5,4,12,0.0
5,4,13,0.0
5,4,14,0.0
5,4,15,0.0
5,4,16,0.0
5,4,17,0.0
5,4,18,0.0
5,4,19,0.0
5,4,20,0.0
5,4,21,16.60925865263169
5,4,22,28.32000004823817
5,4,23,28.32000007776753
5,4,24,28.32000000000005
5,5,1,84.95999999999998
5,5,2,56.64000027820856
5,5,3,56.63999999999999
5,5,4,56.63999999999999
5,5,5,56.63999999999999
5,5,6,56.64000003238556
5,5,7,44.92925870407623
5,5,8,28.31999999999999
5,5,9,28.31999999999977
5,5,10,28.32000007989609
5,5,11,28.32000000000083
5,5,12,28.31999999999947
5,5,13,4.92114246014323
5,5,14,4.921142460143223
5,5,15,4.92114246014323
5,5,16,4.921142585551308
5,5,17,4.921142460143258
5,5,18,4.92114246014323
5,5,19,28.31999999999994
5,5,20,28.31999999999954
5,5,21,44.92925865263163
5,5,22,56.64000004823811
5,5,23,56.64000007776747
5,5,24,56.63999999999999
