index0,index1,Trans_Theta.val
13,2,-0.03114903812765643
13,3,-0.03754859639641727
13,4,-0.03520546477298968
13,5,-0.04273335044865304
13,6,-0.04737240158647778
13,7,-0.04613318590015944
13,8,-0.03518237863639066
13,9,-0.03661876533501891
13,10,-0.03500236801170244
13,11,-0.04282201603960996
13,12,-0.0424029097326932
13,13,-0.047526333526331
13,14,-0.04318559206985736
13,15,-0.04691681020737233
13,16,-0.04149058654960926
13,17,-0.04417294029143755
13,18,-0.04031710648634125
13,19,-0.0400864857895849
13,20,-0.0379243143624733
13,21,-0.04809091312003273
13,22,-0.0441014616953373
13,23,-0.04221097401832358
13,24,-0.03640120241621254
14,1,-0.05985350602412023
14,2,-0.04865395238659435
14,3,-0.0557400674234501
14,4,-0.0505570313658333
14,5,-0.05991274321090361
14,6,-0.06512417446242894
14,7,-0.06235605815623264
14,8,-0.05668382565575938
14,9,-0.0576033556180458
14,10,-0.05410786981703745
14,11,-0.06269482691435396
14,12,-0.06047823469400318
14,13,-0.06451599543141628
14,14,-0.05912252726480983
14,15,-0.06170234475025822
14,16,-0.05894120554742012
14,17,-0.064466140505387
14,18,-0.05978335553277096
14,19,-0.06221041306351539
14,20,-0.06187422741173697
14,21,-0.06752433946609082
14,22,-0.06380548772333867
14,23,-0.06214745241898661
14,24,-0.05442415962643941
