index0,index1,index2,I.val
9,10,7,0.00436372096144743
9,10,8,0.004248734188475882
9,10,9,0.004140000497490467
9,10,10,0.004071938486363036
9,10,11,0.004156612129690489
9,10,12,0.004102089311515466
9,10,13,0.004046938616338628
9,10,14,0.003997098316257029
9,10,15,0.003965161228108674
9,10,16,0.003969416968565512
9,10,17,0.003973651359494142
9,10,18,0.003933957686986919
9,10,19,0.004063002808242436
9,10,20,0.004040411071206804
9,10,21,0.004183335751786631
9,10,22,0.004179575803250594
9,10,23,0.004243096140312202
9,10,24,0.004333945743576885
9,11,1,0.01040801488500495
9,11,2,0.004973493961735686
9,11,3,0.01107478656229557
9,11,4,0.01109768781005453
9,11,5,0.008359390656181648
9,11,6,0.01145589114319446
9,11,7,0.01134509118294358
9,11,8,0.01052372473755826
9,11,9,0.009654365635469108
9,11,10,0.009058946237868059
9,11,11,0.00890733589537331
9,11,12,0.009054509482903171
9,11,13,0.009172266464159279
9,11,14,0.009311270032591783
9,11,15,0.00934154326087791
9,11,16,0.009316329565893481
9,11,17,0.009261965402737174
9,11,18,0.009419885145559838
9,11,19,0.008963394333985943
9,11,20,0.009498482739981764
9,11,21,0.00824344626670619
9,11,22,0.008171979499715465
9,11,23,0.006462217474138302
9,11,24,0.009412120428085747
10,12,1,0.004638434186262339
10,12,2,0.004591359800333195
10,12,3,0.004645095829215506
10,12,4,0.004648820897877713
10,12,5,0.004607638864054749
10,12,6,0.004566737401430861
10,12,7,0.004467762850851607
10,12,8,0.00435611904892147
10,12,9,0.004255404798669769
10,12,10,0.004209429872771902
10,12,11,0.004328329488991345
10,12,12,0.004319508534916028
10,12,13,0.004314362949980183
10,12,14,0.004318674289417979
10,12,15,0.004337470762470996
10,12,16,0.004383847236293013
10,12,17,0.004421870037865226
10,12,18,0.00439357824849141
10,12,19,0.004520392952297244
10,12,20,0.004472455311580756
10,12,21,0.004583214041180776
10,12,22,0.004531025657479483
10,12,23,0.004548450822802631
10,12,24,0.004594922232216015
11,13,1,0.01110951467786619
11,13,2,0.005462016918447376
11,13,3,0.01178413068562121
