index0,index1,VM.val
6,10,1.064027242121028
6,11,1.069519160227307
6,12,1.069193825632236
6,13,1.068831781064256
6,14,1.0638389556996
6,15,1.068525857829349
6,16,1.064040488199646
6,17,1.068874763137432
6,18,1.063978444083445
6,19,1.06990231530127
6,20,1.064022225529741
6,21,1.068300716928697
6,22,1.066632964804642
6,23,1.068910113056766
6,24,1.064179547287827
7,1,1.061763747770379
7,2,1.075197035676883
7,3,1.060192059513948
7,4,1.060168966935501
7,5,1.065770833879016
7,6,1.060128804244154
7,7,1.061160437238817
7,8,1.062422029735564
7,9,1.066518325488922
7,10,1.064947266778214
7,11,1.070423330628496
7,12,1.070096775426366
7,13,1.069736134672305
7,14,1.064717820988452
7,15,1.069428465486288
7,16,1.064915634088538
7,17,1.06977587938202
7,18,1.064859910653554
7,19,1.070802928904781
7,20,1.06491532789215
7,21,1.069246924131773
7,22,1.067505927962268
7,23,1.069730776757247
7,24,1.065112828082478
8,1,1.070598893864195
8,2,1.081489275242162
8,3,1.068971094761835
8,4,1.068945330401306
8,5,1.073136094140556
8,6,1.069165588678253
8,7,1.069365427522467
8,8,1.070523601092611
8,9,1.074309733620676
8,10,1.072485711642647
8,11,1.078013078074909
8,12,1.077698976500318
8,13,1.077360426368696
8,14,1.071998407835055
8,15,1.077048793897355
8,16,1.072159633657479
8,17,1.077353906631296
8,18,1.072102636850966
8,19,1.078323720687243
8,20,1.072200260535499
8,21,1.077006777313497
8,22,1.074583410792752
8,23,1.076370416191423
8,24,1.072634616941698
9,1,1.070952696286694
9,2,1.081742450164339
9,3,1.069322479223523
9,4,1.069296532081671
9,5,1.073431456979173
9,6,1.069527303967809
9,7,1.069694633197767
9,8,1.070849460935169
9,9,1.07461996114142
9,10,1.072790347773412
9,11,1.078312407828083
9,12,1.077998880062166
9,13,1.077661335391075
9,14,1.072293208340716
9,15,1.077349778813178
9,16,1.072453223402821
9,17,1.077653761979785
9,18,1.072396737589808
9,19,1.078621132303922
9,20,1.072495246613301
9,21,1.07731625160187
9,22,1.074869103027044
9,23,1.076638334679738
9,24,1.072937071905516
10,1,1.074406375737275
10,2,1.085178309504283
10,3,1.07278587930757
10,4,1.072769592681047
10,5,1.07689295880506
10,6,1.072985931772358
10,7,1.073116402010184
10,8,1.074232106931969
10,9,1.0779834897792
10,10,1.0761121878798
10,11,1.081697167694545
10,12,1.081359733536594
10,13,1.080996131252014
10,14,1.075570086314784
10,15,1.08064410495471
10,16,1.075713133952968
10,17,1.080946010310757
10,18,1.07563617587027
10,19,1.081947212133535
10,20,1.075779368233331
10,21,1.080669753429151
10,22,1.078207050987728
10,23,1.07999863534168
10,24,1.076335283185154
11,1,1.083480581155477
11,2,1.090468462712722
11,3,1.08225908250451
11,4,1.082247573529126
11,5,1.084736713197055
11,6,1.082665066210471
11,7,1.082834558035611
11,8,1.083491934600927
11,9,1.085674135503048
11,10,1.084487476290156
11,11,1.087843736237511
11,12,1.087633668729304
11,13,1.087422422678156
11,14,1.084149972494506
11,15,1.087236438889265
11,16,1.084301275783468
11,17,1.087507379394862
11,18,1.084354779300907
11,19,1.088236705524991
11,20,1.084514652393697
11,21,1.087452327055909
11,22,1.086047295405617
11,23,1.086585147318738
11,24,1.084941699426647
12,1,1.078546150487015
12,2,1.089302242676477
12,3,1.076922635104698
12,4,1.076906010754109
12,5,1.081009661079885
12,6,1.077089053583965
12,7,1.077176038344399
12,8,1.078247440157294
12,9,1.08197661965283
12,10,1.08007407140257
12,11,1.085746686450703
12,12,1.085410123581979
12,13,1.085048228220283
12,14,1.079597190085696
12,15,1.084716174333593
12,16,1.079779010980123
12,17,1.085062977925361
12,18,1.079708224541932
12,19,1.086107914318115
12,20,1.079883591433285
12,21,1.084831245172123
12,22,1.082324865689398
12,23,1.084115850280343
12,24,1.080466222756712
13,1,1.088855698870927
13,2,1.094280216412953
13,3,1.087796669206183
13,4,1.08779106745742
13,5,1.089603620975043
13,6,1.088312177599447
13,7,1.088521627322686
13,8,1.089026485786593
13,9,1.090635459176326
13,10,1.089714533036081
13,11,1.092274293417705
13,12,1.092127241486135
13,13,1.091979318755302
13,14,1.089510005726632
13,15,1.091847060476902
13,16,1.089637470336275
13,17,1.09205730923742
13,18,1.089667407455021
13,19,1.092620321968625
13,20,1.089792634825833
13,21,1.091971493063524
13,22,1.09093977747944
13,23,1.090951206562159
13,24,1.090132056647842
14,1,1.083450127856697
14,2,1.09043800941392
14,3,1.082229953262202
14,4,1.082217120230359
14,5,1.084703611499936
14,6,1.082625344113367
14,7,1.082782919152165
14,8,1.083424406556283
14,9,1.085590718138138
14,10,1.084388169535685
14,11,1.087732512288341
14,12,1.08751185168802
14,13,1.087293984924981
14,14,1.084017562290173
14,15,1.087104028697464
14,16,1.084174162162486
14,17,1.087390858906312
