index0,index1,index2,Block_Dispatch_d.val
1,3,21,0.01399999986219434
1,3,22,0.0139999998226776
1,3,23,0.01399999979967646
1,3,24,0.01399999980864484
1,4,1,0.01399999947190983
1,4,2,0.01399999926050951
1,4,3,0.01399999964577658
1,4,4,0.01399999965961898
1,4,5,0.01399999949542204
1,4,6,0.01399999962638287
1,4,7,0.01399999962342371
1,4,8,0.0139999995760534
1,4,9,0.01399999978017508
1,4,10,0.01399999979321018
1,4,11,0.01399999976362389
1,4,12,0.01399999975389767
1,4,13,0.01399999974389797
1,4,14,0.01399999978600148
1,4,15,0.01399999975288108
1,4,16,0.01399999979146981
1,4,17,0.0139999997486507
1,4,18,0.01399999978132708
1,4,19,0.01399999976096767
1,4,20,0.01399999977264938
1,4,21,0.01399999978202777
1,4,22,0.01399999967065348
1,4,23,0.01399999958520676
1,4,24,0.01399999962949996
1,5,1,1.466864377032386e-09
1,5,2,1.625894769013728e-09
1,5,3,1.280855121388855e-08
1,5,4,1.359902555987729e-08
1,5,5,1.992625638033305e-09
1,5,6,0.008377692274067691
1,5,7,0.01227405220724634
1,5,8,0.01399995781845269
1,5,9,0.0139999994905272
1,5,10,0.01399999954148275
1,5,11,0.01399999941939466
1,5,12,0.01399999937020356
1,5,13,0.01399999936535942
1,5,14,0.01399999949772403
1,5,15,0.01399999939959534
1,5,16,0.01399999950439869
1,5,17,0.01399999938404041
1,5,18,0.01399999953373697
1,5,19,0.01399999942268133
1,5,20,0.01399999948981067
1,5,21,0.01399999950809257
1,5,22,0.01399999729191587
1,5,23,4.799327069115087e-09
1,5,24,0.01399999164394412
2,1,1,0.01099999991845937
2,1,2,0.01099999991655322
2,1,3,0.01099999991911129
2,1,4,0.01099999991935837
2,1,5,0.01099999991861886
2,1,6,0.01099999992478602
2,1,7,0.01099999992232682
2,1,8,0.01099999991495782
2,1,9,0.01099999993414093
2,1,10,0.01099999993703863
2,1,11,0.0109999999348548
2,1,12,0.01099999993404821
2,1,13,0.01099999993082217
2,1,14,0.01099999993753334
2,1,15,0.0109999999315044
2,1,16,0.01099999993805434
2,1,17,0.01099999992789774
2,1,18,0.01099999994067873
2,1,19,0.01099999993623729
2,1,20,0.01099999993988343
2,1,21,0.01099999993554285
2,1,22,0.01099999992581385
2,1,23,0.01099999991611584
2,1,24,0.01099999992374877
2,2,1,0.01099999989315629
2,2,2,0.0109999998898544
2,2,3,0.01099999989463481
2,2,4,0.01099999989453309
2,2,5,0.01099999989341973
2,2,6,0.01099999990289486
2,2,7,0.01099999989990256
2,2,8,0.01099999988733596
2,2,9,0.01099999991747183
2,2,10,0.01099999992206181
2,2,11,0.01099999991778749
2,2,12,0.01099999991686433
2,2,13,0.01099999991272537
2,2,14,0.01099999992049738
2,2,15,0.01099999991392778
2,2,16,0.01099999992144643
2,2,17,0.01099999990808539
2,2,18,0.01099999992575713
2,2,19,0.01099999992000507
2,2,20,0.01099999992464477
2,2,21,0.01099999991993225
2,2,22,0.01099999990538698
2,2,23,0.01099999988871242
2,2,24,0.01099999990179984
2,3,1,0.01099999984736162
2,3,2,0.01099999984267903
2,3,3,0.01099999985241754
2,3,4,0.01099999985177782
2,3,5,0.01099999984854174
2,3,6,0.01099999986533032
2,3,7,0.01099999986151945
2,3,8,0.01099999983747502
2,3,9,0.01099999989137401
2,3,10,0.01099999989887861
2,3,11,0.01099999989059303
2,3,12,0.01099999988927402
2,3,13,0.01099999988344227
2,3,14,0.01099999989514747
2,3,15,0.01099999988565588
2,3,16,0.01099999989526739
2,3,17,0.01099999987657101
2,3,18,0.01099999990245193
2,3,19,0.01099999989425633
2,3,20,0.01099999990046773
2,3,21,0.01099999989524492
2,3,22,0.01099999987123879
2,3,23,0.01099999983957854
2,3,24,0.01099999986463682
2,4,1,0.01099999973971987
2,4,2,0.0109999997440721
2,4,3,0.01099999976868351
2,4,4,0.01099999976861694
2,4,5,0.01099999974684929
2,4,6,0.01099999978601984
2,4,7,0.01099999978075225
2,4,8,0.01099999972425092
2,4,9,0.010999999845616
2,4,10,0.01099999985822641
2,4,11,0.01099999984042486
2,4,12,0.01099999983819927
2,4,13,0.01099999982789265
2,4,14,0.01099999985029849
2,4,15,0.01099999983313829
2,4,16,0.01099999984853337
2,4,17,0.01099999982031882
2,4,18,0.01099999986127053
2,4,19,0.01099999984752515
2,4,20,0.01099999985669185
2,4,21,0.01099999985100467
2,4,22,0.01099999980275336
2,4,23,0.01099999972675364
2,4,24,0.01099999978816606
2,5,1,0.0109999991164013
2,5,2,0.01099999913017078
2,5,3,0.01099999886107374
2,5,4,0.01099999919056763
2,5,5,0.01099999920010902
2,5,6,0.01099999949170878
2,5,7,0.01099999949118865
2,5,8,0.01099999913628858
2,5,9,0.01099999973753955
2,5,10,0.01099999976790765
2,5,11,0.01099999972074229
2,5,12,0.01099999971656455
2,5,13,0.01099999969159183
2,5,14,0.01099999974426976
2,5,15,0.01099999970757423
2,5,16,0.0109999997398118
2,5,17,0.01099999970087303
2,5,18,0.01099999977260661
2,5,19,0.01099999973594025
2,5,20,0.01099999975590006
2,5,21,0.01099999975008581
2,5,22,0.01099999959009949
2,5,23,0.01099999904021098
2,5,24,0.0109999995383834
3,1,1,0.01299999976059505
3,1,2,0.01299999974973343
3,1,3,0.01299999980961463
3,1,4,0.01299999981943233
3,1,5,0.01299999975302845
3,1,6,0.01299999983665909
3,1,7,0.0129999998265292
3,1,8,0.01299999981005281
3,1,9,0.01299999986631953
3,1,10,0.01299999988270332
3,1,11,0.01299999987642442
3,1,12,0.01299999984624249
3,1,13,0.01299999984866439
3,1,14,0.01299999987884652
3,1,15,0.01299999987360993
3,1,16,0.01299999987627904
3,1,17,0.01299999984613973
3,1,18,0.01299999980986931
3,1,19,0.01299999984576526
3,1,20,0.01299999987740252
3,1,21,0.01299999985800744
3,1,22,0.01299999982420834
3,1,23,0.01299999979693031
3,1,24,0.01299999980970211
3,2,1,0.01299999959145377
3,2,2,0.01299999950377983
3,2,3,0.01299999970358224
3,2,4,0.012999999721993
3,2,5,0.01299999957953848
3,2,6,0.01299999975295019
3,2,7,0.01299999973585349
3,2,8,0.01299999969885224
3,2,9,0.01299999982124802
3,2,10,0.01299999984247775
3,2,11,0.01299999983343143
3,2,12,0.01299999978975375
3,2,13,0.01299999979313893
3,2,14,0.01299999983580486
3,2,15,0.01299999982937375
3,2,16,0.01299999983256003
3,2,17,0.0129999997919726
3,2,18,0.01299999972645233
3,2,19,0.01299999978898969
3,2,20,0.01299999983386629
3,2,21,0.01299999980755602
3,2,22,0.01299999973683573
3,2,23,0.01299999965635644
3,2,24,0.01299999971316891
3,3,1,0.01299999844049943
3,3,2,0.01299997113092576
3,3,3,0.0129999992569056
3,3,4,0.01299999933625137
3,3,5,0.01299999846753204
3,3,6,0.01299999950204387
3,3,7,0.01299999945671269
3,3,8,0.01299999933105112
3,3,9,0.01299999973248139
3,3,10,0.0129999997636169
3,3,11,0.01299999974968154
3,3,12,0.01299999967693066
3,3,13,0.01299999967944958
3,3,14,0.01299999974921587
3,3,15,0.01299999974213243
3,3,16,0.01299999974500043
3,3,17,0.01299999968168419
3,3,18,0.01299999956629038
3,3,19,0.01299999967240058
3,3,20,0.0129999997451251
3,3,21,0.01299999970499892
3,3,22,0.01299999947481295
3,3,23,0.01299999889532856
3,3,24,0.01299999941675564
3,4,1,1.408231402075145e-09
3,4,2,0.0
3,4,3,5.956293720302023e-09
3,4,4,5.718599837957685e-09
3,4,5,1.003156966398214e-09
3,4,6,0.0006068271026043465
3,4,7,1.605743056552148e-08
3,4,8,2.780591335031072e-08
3,4,9,0.01299999947270451
3,4,10,0.01299999953411223
3,4,11,0.01299999951449929
3,4,12,0.01299999935369409
3,4,13,0.01299999936023185
3,4,14,0.01299999948189825
3,4,15,0.01299999949208486
3,4,16,0.01299999947618202
3,4,17,0.01299999937610199
3,4,18,0.0129999991037793
3,4,19,0.01299999933385001
3,4,20,0.01299999946396596
3,4,21,0.01299999936247656
3,4,22,0.005292017477373185
3,4,23,1.026931598241663e-09
3,4,24,3.254770818444336e-08
3,5,1,0.0
3,5,2,0.0
3,5,3,0.0
3,5,4,0.0
3,5,5,0.0
3,5,6,0.0
3,5,7,0.0
3,5,8,0.0
3,5,9,0.0129999799069492
3,5,10,2.79393177298856e-07
3,5,11,0.01299999686006375
3,5,12,0.01299999548416881
3,5,13,0.01299999557618178
3,5,14,0.002775844102686967
