index0,index1,index2,P.val
9,10,5,-0.06954192935300893
9,10,6,-0.06916557347347087
9,10,7,-0.06840657698893648
9,10,8,-0.06753186011194794
9,10,9,-0.0667663233908682
9,10,10,-0.06616523605939807
9,10,11,-0.06700865113235208
9,10,12,-0.06655826417460477
9,10,13,-0.06610038295935043
9,10,14,-0.065545748637623
9,10,15,-0.06542287795600416
9,10,16,-0.06532588955037516
9,10,17,-0.06550620486642
9,10,18,-0.06503381603228459
9,10,19,-0.06627218926310921
9,10,20,-0.06591176150997599
9,10,21,-0.06721775493298737
9,10,22,-0.06711571922996491
9,10,23,-0.06768227672309683
9,10,24,-0.06828352685723196
9,11,1,-0.1060452839544513
9,11,2,-0.07355126543600415
9,11,3,-0.1093379122578424
9,11,4,-0.1094508386990481
9,11,5,-0.0951194111413263
9,11,6,-0.1112152074521093
9,11,7,-0.1107116803029907
9,11,8,-0.1066531410646965
9,11,9,-0.1014702603487991
9,11,10,-0.09897974996984822
9,11,11,-0.09612304749273347
9,11,12,-0.09694600438508272
9,11,13,-0.09766551911518327
9,11,14,-0.1003331591854657
9,11,15,-0.09861097025339115
9,11,16,-0.1003619595363534
9,11,17,-0.0982138566019641
9,11,18,-0.1009398061838285
9,11,19,-0.09652458585087285
9,11,20,-0.101372121583446
9,11,21,-0.09374265462657753
9,11,22,-0.09410123757636744
9,11,23,-0.0837000584885582
9,11,24,-0.1009453163316503
10,12,1,-0.07069054547486839
10,12,2,-0.07069215907775069
10,12,3,-0.07069032495936949
10,12,4,-0.07071961587579395
10,12,5,-0.07054644382431477
10,12,6,-0.07009619016279693
10,12,7,-0.06933436300701384
10,12,8,-0.06849281711650797
10,12,9,-0.06779712796807731
10,12,10,-0.06737654575386004
10,12,11,-0.0684779093554487
10,12,12,-0.06839091011901575
10,12,13,-0.06833288573964483
10,12,14,-0.06821474272184039
10,12,15,-0.0684924136196412
10,12,16,-0.06872402758138581
10,12,17,-0.06915997834856107
10,12,18,-0.06879587237012147
10,12,19,-0.06996514450148618
10,12,20,-0.069421525731504
10,12,21,-0.07043977485478195
10,12,22,-0.06997260656340032
10,12,23,-0.07017602241692038
10,12,24,-0.07041496163302326
11,13,1,-0.1099252797514626
11,13,2,-0.07728894441549908
11,13,3,-0.1131621804495353
11,13,4,-0.1132757026752518
11,13,5,-0.0989095068839627
11,13,6,-0.1154149281051107
11,13,7,-0.1154934683880564
11,13,8,-0.1121443990363618
11,13,9,-0.1075584606478399
11,13,10,-0.1055649840810182
11,13,11,-0.1030665118156737
11,13,12,-0.1041856603412562
11,13,13,-0.1050910811828462
11,13,14,-0.1078753620629311
11,13,15,-0.1060776691758388
11,13,16,-0.1076119099445367
11,13,17,-0.1050209055615296
11,13,18,-0.1072424005701469
11,13,19,-0.1023373858455359
11,13,20,-0.1068362861909107
11,13,21,-0.09888012886784453
11,13,22,-0.09898227651152093
11,13,23,-0.08824370696268277
11,13,24,-0.1052744362518308
11,14,1,0.000836372
11,14,2,0.000836372
11,14,3,0.0008000080000000001
11,14,4,0.000836372
11,14,5,0.0009091
11,14,6,0.00109092
11,14,7,0.001418196
11,14,8,0.001854564
11,14,9,0.002290932
11,14,10,0.0027273
11,14,11,0.003054576
11,14,12,0.003345488
11,14,13,0.003527308
11,14,14,0.0036364
11,14,15,0.0036364
11,14,16,0.003490944
11,14,17,0.003200032
11,14,18,0.002800028
11,14,19,0.002436388
11,14,20,0.002109112
11,14,21,0.0018182
11,14,22,0.001600016
11,14,23,0.001381832
11,14,24,0.001163648
12,15,1,-0.07342907528327941
